1/1/1 216172786408751106 11 17329851366121668608 9 31736303624126464 7 866384376361910272 6 2313406824579072 3 284799281397760 4 964228546560 5 70602719232 10 117637120 8 2158592 0 136054784 1 248 2 1797 
1/1/2 216172786408751108 4 16177070599003176960 7 1184481886370529280 5 290201800500314112 9 578725763436511232 0 17832972648448 6 2207730630656 8 70645236891648 11 551911735296 10 3160064 3 135005696 1 248 2 196867 
1/1/3 216172786408751112 10 8083961331130040320 7 866384376361910272 8 9277556519627390976 6 2313406824579072 3 284799281397760 9 70781600006144 11 252182528 5 3225444352 4 8421600 1 68988964880 0 265732 2 196867 
1/1/4 216172786408751120 10 16194944260024303616 9 2031123431944093696 11 4223224162287616 4 123421253959680 0 8916486324224 5 6605710032896 1 141289400074240 8 138246365184 7 67896832 6 4210912 3 1054732 2 196867 
1/1/5 216172786408751136 11 8649163084365037568 7 9286492800382140416 5 290201800500314112 0 4565240998002688 6 141701708513280 3 6648743591936 9 1880621056 10 8640462848 8 2127872 4 67372800 2 12615872 1 31 
1/1/6 216172786408751168 9 4062246863888187392 6 296116073546121216 11 13871228139545296896 10 847732054949888 4 123421253959680 5 9037148061696 7 17381588992 3 270011392 2 50397952 8 2160099456 0 2125856 1 31 
1/1/7 216172786408751105 11 17298326168730075136 9 866661453292109824 6 63121038405271552 5 2313509903794176 10 7722351198208 8 141290473783296 7 103885570048 2 117768192 4 134756352 3 6340736 1 124 0 132866 
1/10/1 216172782147338242 11 8664925683060834304 10 15788986974863360 6 290205099035197440 8 9259612489862086656 9 3358664425472 0 35665945296896 5 3225444352 7 272107520 3 201720320 4 8421600 2 5148 1 4311810305 
1/10/2 216172782147338244 11 17329851366121668608 7 592240943185264640 6 290205099035197440 0 18260963992010752 5 9037148061696 3 3324371795968 9 403570688 8 552985460736 10 24800 4 7344144 2 3594 1 4311810305 
1/10/3 216172782147338248 9 1760907454301863936 4 16177070599003176960 8 2317770511351808 5 290201800500314112 0 71331890593792 7 2259219906560 10 69527928832 6 134749184 11 2155905216 3 4218928 2 393734 1 4311810305 
1/10/4 216172782147338256 11 8649163084365037568 6 9286563169126318080 5 4627019807588352 8 289369487377956864 10 847732054949888 9 240719495168 7 553518104576 3 271605760 4 8421600 0 531464 2 393734 1 4311810305 
1/10/5 216172782147338272 9 13866583252673757184 4 4037485862030671872 5 290201800500314112 6 36275637379399680 0 17832972648448 10 6622906679296 8 276492730368 7 135793664 11 2155905216 3 2109464 2 393734 1 4311810305 
1/10/6 216172782147338304 10 16194944260024303616 9 2019301482922246144 8 9271082045407232 5 6764247073685504 7 289180148039680 4 962611642368 6 69190287360 11 3229646976 3 4218928 0 531464 2 393734 1 4311810305 
1/10/7 216172782147338241 2 16185937060769562624 10 1736146452444348416 5 290201800500314112 7 18225917058875392 6 553522298880 11 52845547094016 8 4449653489664 9 2211925000192 4 134756352 3 6340736 1 124 0 132866 
1/11/1 216172782180892674 7 3485821295956852736 3 871464120082235392 10 1973623371857920 11 13871228139545296896 6 9036745408512 8 70646847504384 9 4423850000384 5 807428096 4 8421600 2 1576984 0 265732 1 4311810305 
1/11/2 216172782180892676 10 4048736065006075904 5 290201800500314112 11 13871228139545296896 0 2282620499001344 9 18120089601572864 7 278105423872 3 69122916352 8 2224826744832 6 8446080 4 1052784 2 3594 1 4311810305 
1/11/3 216172782180892680 9 866661453292109824 4 16177070599003176960 5 1184517070742618112 8 36215164239872 0 2282620499001344 7 3324338241536 10 1882193920 6 134749184 11 2155905216 3 4218928 2 393734 1 4311810305 
1/11/4 216172782180892688 10 8083961331130040320 9 866661453292109824 11 9259542395995815936 5 18137612531269632 8 2260647580532736 6 7705204883456 7 141201244160 3 271605760 4 8421600 0 531464 2 393734 1 4311810305 
1/11/5 216172782180892704 5 4643228808005025792 4 4037485862030671872 6 290205099035197440 8 9259612489862086656 7 3324338241536 0 278640197632 9 35390800003072 11 34494483456 10 8437952 3 2109464 2 393734 1 4311810305 
1/11/6 216172782180892736 9 866661453292109824 4 16149943448122687488 10 54254851516792832 8 1159694564953423872 7 8848035282944 6 7705204883456 5 412856877056 11 3229646976 3 4218928 0 531464 2 393734 1 4311810305 
1/11/7 216172782180892673 11 17298326168730075136 9 866661453292109824 4 63191682027356160 10 123351460741120 5 2267201566408704 7 278644391936 2 51674611712 8 1103856992256 6 269498368 3 6340736 1 124 0 132866 
1/12/1 216172782248001538 9 4062246863888187392 6 296116073546121216 11 13871228139545296896 8 132010114809856 10 847732054949888 7 415542280192 3 51640401920 5 807428096 4 8421600 2 1576984 0 265732 1 4311810305 
1/12/2 216172782248001540 9 1760907454301863936 8 292452500802371584 4 16177070599003176960 10 61778809585664 7 71194988511232 6 7705204883456 5 51607109632 0 272109568 11 2155905216 3 4218928 2 3594 1 4311810305 
1/12/3 216172782248001544 7 6931075010895282176 6 2019873228968689664 8 9277556519627390976 4 1974740063354880 0 17832972648448 5 3307225481216 9 70645234794496 10 1580032 11 2155905216 3 4218928 2 393734 1 4311810305 
1/12/4 216172782248001552 11 8649163084365037568 10 31577973949726720 6 290205099035197440 9 9259612214984179712 8 9053791059968 5 3307225481216 7 553518104576 3 271605760 4 8421600 0 531464 2 393734 1 4311810305 
1/12/5 216172782248001568 8 8651414884178722816 6 9286563169126318080 0 292175423872172032 10 106515188940800 3 26439885783040 9 284782135083008 4 3766517760 11 68988973056 5 6308032 7 527384 2 393734 1 4311810305 
1/12/6 216172782248001600 9 6933291626336878592 4 2018742931015335936 11 9259542395995815936 7 18137681250746368 10 847732054949888 3 8847733293056 6 70599573504 8 2155921536 5 6299696 0 531464 2 393734 1 4311810305 
1/12/7 216172782248001537 11 17298326168730075136 9 866661453292109824 4 63191682027356160 10 123351460741120 5 2267201566408704 7 278644391936 2 51607502848 8 1103856992256 6 269498368 3 6340736 1 124 0 132866 
1/13/1 216172782382219266 7 2337438575349465088 6 2019873228968689664 10 1973623371857920 11 13871228139545296896 3 17695466586112 8 35597227917312 9 4423850000384 5 3225444352 4 8421600 2 1576984 0 265732 1 4311810305 
1/13/2 216172782382219268 0 2337403390977376256 6 2019873228968689664 11 13871228139545296896 4 1974740063354880 7 17833241083904 5 3307225481216 9 70646851698688 8 136183808 10 49376 3 6303760 2 3594 1 4311810305 
1/13/3 216172782382219272 8 8651414884178722816 5 9286457616010051584 0 292175423872172032 3 284799281397760 7 18073759252480 4 8830687641600 11 211658144219136 10 1580032 9 1077985408 6 2105456 2 393734 1 4311810305 
1/13/4 216172782382219280 8 8655918483806093312 3 9277520785499488256 5 296129267685654528 11 9311489097728 10 847732054949888 6 4415461261312 9 141290469588992 7 540041216 4 8421600 0 531464 2 393734 1 4311810305 
1/13/5 216172782382219296 9 4062246863888187392 0 292175423872172032 11 13871228139545296896 6 4626813649158144 3 284799281397760 4 8830687641600 10 413929570304 8 2160099456 5 1077312 7 527384 2 393734 1 4311810305 
1/13/6 216172782382219328 10 6944585809777393664 4 2022133824875397120 8 9259612489862086656 6 3945064900329472 7 8899373563904 9 284782135083008 5 412856877056 11 3229646976 3 4218928 0 531464 2 393734 1 4311810305 
1/13/7 216172782382219265 11 17329851366121668608 9 880453727150931968 7 18225917058875392 8 66039417143296 4 1971428643569664 5 2259287015424 6 553522298880 2 117768192 10 1587200 3 6340736 1 124 0 132866 
1/14/1 216172782650654722 11 8649163084365037568 6 9286563169126318080 5 290201800500314112 7 4534420312686592 3 106379897470976 9 206628192256 8 2224826744832 10 1080057856 4 8421600 2 1576984 0 265732 1 4311810305 
1/14/2 216172782650654724 7 4643246400191070208 4 4037485862030671872 6 290205099035197440 8 9259612489862086656 9 3358664425472 5 18074296123392 10 235274240 0 272109568 11 2155905216 3 4218928 2 3594 1 4311810305 
1/14/3 216172782650654728 8 292452500802371584 10 13889241988298964992 4 4044267649750794240 6 4534454672424960 0 71331890593792 5 3307225481216 7 51942785024 9 3152896 11 2155905216 3 4218928 2 393734 1 4311810305 
1/14/4 216172782650654736 9 4062246863888187392 8 292452500802371584 11 13871228139545296896 6 4626813649158144 10 13245813358592 5 3307225481216 7 415542280192 3 271605760 4 8421600 0 531464 2 393734 1 4311810305 
1/14/5 216172782650654752 8 4327959241903046656 10 13889241988298964992 11 4223224162287616 3 9060078892089344 0 71331890593792 4 15401786277888 5 17650679808 6 2162196480 9 28864 7 527384 2 393734 1 4311810305 
1/14/6 216172782650654784 8 4327959241903046656 7 13862150021790564352 9 3439272371683328 4 36170496579993600 10 847732054949888 6 4415461261312 5 103350796288 11 3229646976 3 4218928 0 531464 2 393734 1 4311810305 
1/14/7 216172782650654721 9 16154411863377969152 2 1731660445003022336 5 290201800500314112 7 54149023522619392 8 141290473783296 6 240787652608 11 6614317006848 10 12935299072 4 134756352 3 6340736 1 124 0 132866 
1/15/1 216172783187525634 11 8649163084365037568 6 9286563169126318080 5 290201800500314112 7 4534420312686592 3 106379897470976 9 206628192256 8 2224826744832 10 543186944 4 8421600 2 1576984 0 265732 1 4311810305 
1/15/2 216172783187525636 5 4643228808005025792 4 4037485862030671872 6 290205099035197440 8 9259612489862086656 9 3358664425472 0 35665945296896 10 101580800 7 405803008 11 2155905216 3 4218928 2 3594 1 4311810305 
1/15/3 216172783187525640 8 292452500802371584 10 13889171619554787328 4 4044267649750794240 6 4534454672424960 5 141700097900544 7 3324338241536 0 34830024704 9 3152896 11 2155905216 3 4218928 2 393734 1 4311810305 
1/15/4 216172783187525648 9 866661453292109824 3 13862114837418475520 7 3465537505447641088 11 9311489097728 8 36240455154794496 6 7705204883456 5 17650679808 10 543186944 4 8421600 0 531464 2 393734 1 4311810305 
1/15/5 216172783187525664 11 8649163084365037568 10 9277626338615754752 9 13541585207689216 5 290201800500314112 0 35665945296896 6 2259186352128 8 551915913216 4 470814720 3 2121920 7 527384 2 393734 1 4311810305 
1/15/6 216172783187525696 11 17329851366121668608 9 866661453292109824 7 18261238869917696 6 15780259601317888 10 7722351198208 4 8830687641600 3 413123215360 8 2155921536 5 6299696 0 531464 2 393734 1 4311810305 
1/15/7 216172783187525633 8 8651414884178722816 6 9286563169126318080 5 2313509903794176 11 289360699874869248 10 847727759982592 9 71195533770752 7 103885570048 2 117768192 4 134756352 3 6340736 1 124 0 132866 
1/16/1 216172784261267458 8 8651414884178722816 7 9286492800382140416 3 291634464151306240 10 852121511526400 11 35442070126592 9 141563200012288 6 8824946688 5 807428096 4 8421600 2 1576984 0 265732 1 4311810305 
1/16/2 216172784261267460 11 8649163084365037568 6 9286563169126318080 5 290201800500314112 0 4565240998002688 7 71331353722880 3 4449988771840 8 2207713984512 10 8437952 9 1080041504 4 1839120 2 3594 1 4311810305 
1/16/3 216172784261267464 8 17311836967612186624 7 583229345884012544 5 290201800500314112 0 9130481996005376 9 36170360214781952 10 2224893722624 3 69531074560 11 34494483456 6 8446080 4 1052784 2 393734 1 4311810305 
1/16/4 216172784261267472 11 17329851366121668608 8 18278281300148224 6 592232147092242432 5 290201800500314112 9 240719495168 10 6622873124864 7 826248527872 3 271605760 4 8421600 0 531464 2 393734 1 4311810305 
1/16/5 216172784261267488 6 16158985831749517312 3 1742928240164470784 5 290201800500314112 4 36170496579993600 0 2282620499001344 8 70732742656 10 2224893722624 11 15761408 9 28864 7 527384 2 393734 1 4311810305 
1/16/6 216172784261267520 4 16149943448122687488 6 290205099035197440 10 54254851516792832 11 1733903517443162112 8 2260647580532736 5 3307225481216 3 413123215360 9 1086357632 7 2121776 0 531464 2 393734 1 4311810305 
1/16/7 216172784261267457 9 2019301482922246144 7 2337438575349465088 11 13871228139545296896 5 2313509903794176 6 289175853072384 2 345476431872 10 34561851392 3 25820200960 8 1079296 4 14712960 1 124 0 132866 
1/17/1 216172782113849346 11 8649163084365037568 6 9286563169126318080 7 290202900011941888 0 4565240998002688 3 70781866344448 10 552989622272 8 4423883685888 9 1103857057792 5 2154624 4 1052784 1 34494482440 2 1797 
1/17/2 216172782113849348 9 8077205931688984576 6 9286563169126318080 5 865823625431744512 8 132078834286592 2 845537326661632 3 103886618624 7 17297440768 11 826789625856 4 1077964800 0 136054784 1 248 10 1795 
